date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-09-11 23:51:17,biquciholegu,,0,0,0,"Accept refugee quotas or build walls? Europe ’s divisions deepen – Christian Science Monitor http:// ift.tt/1OIe1tY",,,,642485595953065984,https://twitter.com/biquciholegu/status/642485595953065984
2015-09-11 23:51:13,fagiweruzag,,0,0,0,"Accept refugee quotas or build walls? Europe ’s divisions deepen – Christian Science Monitor http:// ift.tt/1OIe1tY",,,,642485580090200064,https://twitter.com/fagiweruzag/status/642485580090200064
2015-09-11 23:51:11,khimghale,,0,0,0,"What should they called? #Europe Johnson: Political language: Migrant, refugee , asylum-seeker… http:// econ.st/1QdgKwu via @TheEconomist",,@TheEconomist,#Europe,642485572683104256,https://twitter.com/khimghale/status/642485572683104256
2015-09-11 23:51:07,vmpcott,,0,0,0,"It Begins: Europe Flooded With Reports Of ""ISIS Terrorists"" Posing As Refugees http://www. zerohedge.com/news/2015-09-1 1/europe-flooded-reports-isis-terrorists-posing-refugees …",,,,642485554102312960,https://twitter.com/vmpcott/status/642485554102312960
2015-09-11 23:51:06,puxygezufubu,,0,0,0,"Accept refugee quotas or build walls? Europe ’s divisions deepen – Christian Science Monitor http:// ift.tt/1OIe1tY",,,,642485550788816896,https://twitter.com/puxygezufubu/status/642485550788816896
2015-09-11 23:50:46,parisguardian,,0,0,0,"France Opens Doors to Refugees : CERGY-PONTOISE, FRANCE - As Europe continues to bicker over sheltering ten... http:// bit.ly/1Qu1IT9",,,,642485464792854528,https://twitter.com/parisguardian/status/642485464792854528
2015-09-11 23:50:45,french_Papers,,0,0,0,"France Opens Doors to Refugees : CERGY-PONTOISE, FRANCE - As Europe continues to bicker over... http:// bit.ly/1Ok8VpM #parisguardian",,,#parisguardian,642485462137831425,https://twitter.com/french_Papers/status/642485462137831425
2015-09-11 23:50:41,lyvalagevyfe,,0,0,0,"Accept refugee quotas or build walls? Europe ’s divisions deepen – Christian Science Monitor http:// ift.tt/1OIe1tY",,,,642485443049705476,https://twitter.com/lyvalagevyfe/status/642485443049705476
2015-09-11 23:50:31,gizydewuladu,,0,0,0,"Accept refugee quotas or build walls? Europe ’s divisions deepen – Christian Science Monitor http:// ift.tt/1OIe1tY",,,,642485401974910976,https://twitter.com/gizydewuladu/status/642485401974910976
2015-09-11 23:50:26,wolafysaloju,,0,0,0,"Accept refugee quotas or build walls? Europe ’s divisions deepen – Christian Science Monitor http:// ift.tt/1OIe1tY",,,,642485383293456384,https://twitter.com/wolafysaloju/status/642485383293456384
