Date,Close,Polarity,Prediction,Subjectivity
2017-05-01,87.06,0.07494130580925835,0,0.4911254715446109
2017-05-02,86.5,0.08263567512769907,0,0.41080512617055565
2017-05-03,87.0,0.03646945547268823,0,0.44903826776671657
2017-05-04,87.1,0.12132174958159542,0,0.4598906403401264
2017-05-05,87.0,0.14588036533959423,0,0.43180788540163406
2017-05-08,87.1,0.16165031792023832,0,0.5073731768452884
2017-05-09,86.75,0.214999745090808,0,0.5471732854017891
2017-05-10,87.43,0.1767208396095447,0,0.470974138840367
2017-05-11,87.16,0.27123944099125635,0,0.5421328033010843
2017-05-12,86.92,0.21335690288454087,0,0.48920043553605186
2017-05-15,87.34,0.21181527581606963,0,0.5081434703675136
2017-05-16,87.61,0.14822360849550087,0,0.499894323696115
2017-05-17,84.27,-0.03671161742109375,0,0.5399964653661679
2017-05-18,83.96,0.15064032032782043,0,0.49551787101787087
2017-05-19,84.78,0.1735731571669074,0,0.4619995089786751
2017-05-22,84.7,0.11608917297979769,0,0.430965302374393
2017-05-23,85.76,0.14167504041317314,0,0.5331210789913325
2017-05-24,85.71,0.11215070551494892,0,0.5059042345169945
2017-05-25,85.35,0.1475918439537116,0,0.4577203103856803
2017-05-26,85.36,0.1370100586998735,0,0.4465366072542001
2017-05-30,83.9,0.299665062591555,0,0.5421408204064443
2017-05-31,82.15,0.10424443452123301,0,0.499002015001666
2017-06-01,83.06,0.1864470797235133,0,0.5139113564306245
2017-06-02,82.64,0.22692299056110787,0,0.5319848618459733
2017-06-05,82.79,0.10404288629847301,0,0.47056315303428964
2017-06-06,82.96,-0.03970461664474976,0,0.46956733953408014
2017-06-07,83.91,0.08219088055333558,0,0.5536374239330674
2017-06-08,84.95,0.1917499394221911,0,0.5796400537213792
2017-06-09,86.96,0.21314384843854353,0,0.5425568071417781
2017-06-12,86.98,0.15023581816135032,0,0.46873603051794555
2017-06-13,87.27,0.1498252056754304,0,0.5235998455873637
2017-06-14,87.09,0.1179848462912308,0,0.41557327492236185
2017-06-15,86.57,0.08258233968760267,0,0.4339089305755978
